time,frequency,confidence
6.570,136.326,0.358707
6.580,134.953,0.297684
6.590,158.125,0.089206
6.600,162.775,0.046021
6.610,166.004,0.041462
6.620,119.210,0.053636
6.630,129.738,0.027885
6.640,225.399,0.135136
6.650,137.345,0.054952
6.660,44.649,0.073715
6.670,45.711,0.063444
6.680,138.597,0.082580
6.690,34.346,0.165023
6.700,34.020,0.055155
6.710,1192.980,0.050997
6.720,1172.927,0.075014
6.730,1191.011,0.085952
6.740,33.511,0.038820
6.750,33.901,0.195510
6.760,37.975,0.055552
6.770,174.735,0.110764
6.780,171.541,0.299045
6.790,43.434,0.139251
6.800,156.660,0.094564
6.810,153.854,0.044869
6.820,75.324,0.033842
6.830,161.427,0.308744
6.840,161.126,0.601782
6.850,160.051,0.659936
6.860,159.050,0.813093
6.870,158.500,0.920644
6.880,159.038,0.917429
6.890,160.686,0.918748
6.900,162.273,0.933858
6.910,163.665,0.952624
6.920,164.169,0.930588
6.930,164.258,0.921978
6.940,165.413,0.885372
6.950,172.147,0.685623
6.960,176.442,0.865172
6.970,177.953,0.944449
6.980,177.245,0.944529
6.990,175.112,0.934650
7.000,173.174,0.952125
7.010,171.319,0.900523
7.020,167.337,0.841645
7.030,164.457,0.865886
7.040,164.609,0.909810
7.050,167.256,0.866462
7.060,170.581,0.845203
7.070,172.194,0.903697
7.080,172.781,0.943644
7.090,172.708,0.942427
7.100,173.045,0.938404
7.110,173.844,0.926790
7.120,173.930,0.920116
7.130,173.673,0.922353
7.140,172.804,0.919659
7.150,172.515,0.891605
7.160,173.147,0.910891
7.170,174.869,0.923243
7.180,176.810,0.909773
7.190,180.049,0.858331
7.200,183.575,0.816842
7.210,188.692,0.794713
7.220,192.905,0.808177
7.230,197.477,0.730661
7.240,202.861,0.774811
7.250,207.988,0.790659
7.260,213.357,0.770156
7.270,219.814,0.856898
7.280,223.870,0.863261
7.290,230.362,0.722104
7.300,235.293,0.845348
7.310,237.850,0.885390
7.320,237.675,0.910598
7.330,237.016,0.925586
7.340,236.159,0.924211
7.350,234.657,0.855759
7.360,230.544,0.632886
7.370,223.305,0.522769
7.380,213.842,0.500353
7.390,208.877,0.703592
7.400,213.523,0.535360
7.410,230.423,0.564145
7.420,231.292,0.807829
7.430,230.239,0.902689
7.440,230.191,0.915742
7.450,231.566,0.925073
7.460,233.130,0.914457
7.470,233.768,0.943170
7.480,234.509,0.920499
7.490,235.792,0.840719
7.500,235.957,0.814364
7.510,232.814,0.720676
7.520,229.628,0.567181
7.530,229.729,0.391280
7.540,231.640,0.400519
7.550,232.969,0.670293
7.560,233.852,0.840037
7.570,233.094,0.807164
7.580,232.520,0.713978
7.590,233.400,0.653154
7.600,232.356,0.500363
7.610,230.646,0.202657
7.620,237.374,0.060578
7.630,231.883,0.307770
7.640,231.380,0.446241
7.650,236.250,0.667914
7.660,239.590,0.749606
7.670,243.548,0.787525
7.680,247.646,0.726134
7.690,254.934,0.648328
7.700,267.611,0.831470
7.710,273.459,0.890452
7.720,278.506,0.862528
7.730,284.240,0.863700
7.740,287.751,0.897315
7.750,292.045,0.803206
7.760,298.250,0.807715
7.770,302.396,0.745155
7.780,304.331,0.612052
7.790,302.887,0.270806
7.800,267.135,0.308137
7.810,265.851,0.443025
7.820,270.571,0.247058
7.830,272.114,0.472219
7.840,282.581,0.253795
7.850,284.506,0.172941
7.860,1196.357,0.083951
7.870,1200.434,0.074001
7.880,271.553,0.054480
7.890,1158.867,0.042643
7.900,1161.972,0.050055
7.910,220.483,0.044950
7.920,220.221,0.044683
7.930,139.597,0.031756
7.940,137.003,0.038296
7.950,1313.114,0.017403
7.960,135.548,0.023188
7.970,137.836,0.028457
7.980,1178.705,0.017544
7.990,1798.979,0.012086
8.000,138.735,0.088845
